2010-07-14,10309.599609,10315.200195,10159.400391,10278.50,183800,10278.50
2010-07-13,10084.599609,10259.50,10044.00,10259.50,181600,10259.50
2010-07-12,10145.400391,10146.400391,9967.50,10058.200195,153800,10058.200195
2010-07-09,10165.400391,10185.50,10044.700195,10127.299805,204200,10127.299805
2010-07-08,10067.900391,10120.700195,9929.599609,10080.50,321000,10080.50
2010-07-07,9529.799805,9987.400391,9457.00,9987.400391,345200,9987.400391
2010-07-06,9356.00,9698.099609,9346.299805,9615.00,222600,9615.00
2010-07-05,9247.299805,9367.299805,9202.00,9281.50,153600,9281.50
2010-07-02,9228.00,9434.299805,9158.700195,9250.799805,209600,9250.799805
2010-07-01,9041.700195,9341.00,8977.700195,9178.200195,277600,9178.200195
2010-06-30,9212.099609,9407.400391,9122.599609,9263.400391,280000,9263.400391
2010-06-29,9525.400391,9544.900391,9160.400391,9160.400391,247600,9160.400391
2010-06-28,9612.400391,9705.200195,9490.099609,9688.50,186800,9688.50
2010-06-25,9576.400391,9677.599609,9451.50,9535.00,229400,9535.00
2010-06-24,9953.700195,9969.799805,9549.299805,9586.50,221800,9586.50
2010-06-23,9896.599609,10031.299805,9824.700195,9886.00,186400,9886.00
2010-06-22,10020.700195,10071.700195,9872.00,10016.099609,225600,10016.099609
2010-06-21,10127.700195,10209.50,10016.00,10071.900391,204000,10071.900391
2010-06-18,9774.799805,10051.799805,9773.599609,9971.799805,398800,9971.799805
2010-06-17,9671.00,9841.299805,9650.900391,9755.099609,239400,9755.099609
2010-06-16,9803.900391,9838.799805,9572.200195,9683.299805,250800,9683.299805
2010-06-15,9475.799805,9764.900391,9414.00,9742.00,257000,9742.00
2010-06-14,9662.00,9690.700195,9483.700195,9584.00,265800,9584.00
2010-06-11,9276.00,9648.700195,9265.700195,9561.700195,422400,9561.700195
2010-06-10,8807.799805,9242.599609,8712.299805,9198.200195,291800,9198.200195
2010-06-09,8725.900391,8868.700195,8610.599609,8868.700195,273000,8868.700195
2010-06-08,8880.400391,8888.900391,8563.599609,8669.799805,263200,8669.799805
2010-06-07,8825.200195,8962.599609,8664.00,8795.299805,244800,8795.299805
2010-06-04,9289.599609,9315.099609,8881.700195,8923.400391,324000,8923.400391
2010-06-03,9469.700195,9488.799805,9258.299805,9276.200195,209200,9276.200195
2010-06-02,9212.099609,9304.50,9031.900391,9268.00,229400,9268.00
2010-06-01,9282.200195,9356.200195,9019.400391,9299.700195,241600,9299.700195
2010-05-31,9346.099609,9403.799805,9328.400391,9359.400391,114200,9359.400391
2010-05-28,9452.099609,9492.099609,9372.200195,9425.50,237600,9425.50
2010-05-27,9129.50,9395.099609,8906.799805,9334.900391,351400,9334.900391
2010-05-26,9156.00,9241.799805,9042.599609,9042.599609,329200,9042.599609
2010-05-25,8969.900391,9027.400391,8812.099609,9004.400391,342200,9004.400391
2010-05-24,9514.799805,9552.299805,9169.799805,9287.900391,184400,9287.900391
2010-05-21,9288.50,9443.50,9005.900391,9407.299805,468400,9407.299805
2010-05-20,9471.700195,9564.099609,9037.50,9270.50,323400,9270.50
2010-05-19,9430.299805,9518.400391,9233.200195,9376.50,292600,9376.50
2010-05-18,9480.900391,9716.799805,9419.599609,9627.599609,280400,9627.599609
2010-05-17,9224.299805,9488.400391,9140.50,9286.099609,292000,9286.099609
2010-05-14,9891.099609,9896.799805,9192.599609,9314.700195,397400,9314.700195
2010-05-13,10222.50,10222.50,9846.299805,9977.50,230200,9977.50
2010-05-12,9927.900391,10284.900391,9812.200195,10089.799805,296200,10089.799805
2010-05-11,10056.700195,10146.799805,9731.299805,10008.599609,372000,10008.599609
2010-05-10,9059.200195,10351.900391,9058.599609,10351.900391,694200,10351.900391
2010-05-07,9175.400391,9568.799805,8925.900391,9046.099609,539400,9046.099609
2010-05-06,9539.200195,9837.50,9267.50,9352.599609,460600,9352.599609
2010-05-05,9864.599609,9904.50,9505.700195,9635.200195,516200,9635.200195
2010-05-04,10363.599609,10411.799805,9812.799805,9859.099609,462200,9859.099609
2010-05-03,10426.200195,10452.200195,10272.00,10422.799805,162600,10422.799805
2010-04-30,10477.099609,10648.599609,10382.200195,10492.200195,270800,10492.200195
2010-04-29,10190.700195,10511.299805,10138.599609,10441.00,325200,10441.00
2010-04-28,10350.799805,10480.299805,10077.900391,10167.00,502800,10167.00
2010-04-27,10884.599609,10904.50,10480.900391,10480.900391,317200,10480.900391
2010-04-26,11042.700195,11092.599609,10837.799805,10939.299805,243600,10939.299805
2010-04-23,10833.200195,11027.299805,10759.700195,10918.200195,225400,10918.200195
2010-04-22,11045.099609,11079.200195,10753.400391,10821.900391,297200,10821.900391
2010-04-21,11328.50,11337.299805,11041.799805,11064.700195,210800,11064.700195
2010-04-20,11256.299805,11334.700195,11140.099609,11305.599609,186400,11305.599609
2010-04-19,11155.50,11264.099609,11118.200195,11199.50,200600,11199.50
2010-04-16,11441.700195,11546.900391,11210.50,11259.700195,318000,11259.700195
2010-04-15,11533.099609,11543.900391,11372.00,11523.50,196800,11523.50
2010-04-14,11519.599609,11566.099609,11460.200195,11503.700195,155800,11503.700195
2010-04-13,11415.799805,11535.700195,11403.50,11461.00,196600,11461.00
2010-04-12,11468.00,11554.799805,11416.099609,11460.799805,191800,11460.799805
2010-04-09,11161.099609,11408.50,11139.50,11394.200195,257600,11394.200195
2010-04-08,11134.00,11153.00,10977.00,11076.299805,203000,11076.299805
2010-04-07,11152.299805,11235.700195,11083.200195,11191.299805,213800,11191.299805
2010-04-06,11143.200195,11185.099609,10968.200195,11160.599609,165600,11160.599609
2010-04-01,10950.400391,11067.900391,10893.00,11067.900391,127800,11067.900391
2010-03-31,10942.799805,11014.799805,10774.00,10871.299805,196200,10871.299805
2010-03-30,11133.599609,11157.00,10968.00,10980.700195,131800,10980.700195
2010-03-29,11108.200195,11166.400391,11013.00,11091.00,134400,11091.00
2010-03-26,11054.099609,11124.00,11004.00,11071.099609,150000,11071.099609
2010-03-25,10908.50,11092.799805,10825.900391,11091.400391,189800,11091.400391
2010-03-24,11027.00,11041.099609,10747.50,10866.299805,217800,10866.299805
2010-03-23,10884.50,11013.900391,10864.799805,10996.200195,215000,10996.200195
2010-03-22,10959.599609,10960.400391,10694.200195,10861.900391,212800,10861.900391
2010-03-19,11132.400391,11141.400391,10929.599609,10990.799805,277800,10990.799805
2010-03-18,11119.599609,11156.400391,11021.299805,11073.50,177400,11073.50
2010-03-17,11128.00,11190.00,11090.400391,11166.799805,172200,11166.799805
2010-03-16,11028.599609,11061.799805,10921.099609,11059.299805,167000,11059.299805
2010-03-15,11069.900391,11078.299805,10932.200195,10957.799805,145600,10957.799805
2010-03-12,11078.900391,11181.299805,11049.400391,11077.00,148400,11077.00
2010-03-11,11076.200195,11128.00,10988.299805,11045.400391,156000,11045.400391
2010-03-10,11018.299805,11121.00,10976.799805,11121.00,166400,11121.00
2010-03-09,11101.099609,11108.599609,10911.099609,11002.799805,170600,11002.799805
2010-03-08,11103.099609,11123.799805,11031.700195,11078.299805,170600,11078.299805
2010-03-05,10780.099609,11032.799805,10718.599609,11019.799805,217400,11019.799805
2010-03-04,10595.599609,10814.599609,10577.099609,10745.299805,231200,10745.299805
2010-03-03,10485.099609,10679.50,10411.799805,10664.50,194800,10664.50
2010-03-02,10441.799805,10532.900391,10339.299805,10521.50,176200,10521.50
2010-03-01,10434.700195,10504.900391,10287.599609,10434.900391,164800,10434.900391
2010-02-26,10243.400391,10345.200195,10118.400391,10333.599609,230200,10333.599609
2010-02-25,10195.599609,10312.400391,10047.200195,10126.200195,219800,10126.200195
2010-02-24,10304.700195,10333.799805,10089.400391,10254.00,221800,10254.00
2010-02-23,10597.599609,10638.599609,10267.50,10312.900391,212000,10312.900391
2010-02-22,10752.50,10773.599609,10541.099609,10570.50,150200,10570.50
2010-02-19,10472.400391,10676.700195,10404.00,10676.700195,244800,10676.700195
2010-02-18,10466.700195,10574.200195,10417.900391,10574.200195,197400,10574.200195
2010-02-17,10470.900391,10551.50,10426.50,10498.599609,198800,10498.599609
2010-02-16,10397.900391,10430.50,10230.400391,10393.900391,151800,10393.900391
2010-02-15,10298.50,10386.799805,10240.299805,10293.599609,110000,10293.599609
2010-02-12,10393.900391,10409.799805,10149.200195,10224.900391,183600,10224.900391
2010-02-11,10554.50,10557.400391,10162.700195,10281.700195,263000,10281.700195
2010-02-10,10383.099609,10543.099609,10358.900391,10455.00,306800,10455.00
2010-02-09,10160.799805,10339.200195,10084.900391,10275.400391,279600,10275.400391
2010-02-08,10132.099609,10259.200195,9970.900391,10206.299805,310600,10206.299805
2010-02-05,10123.299805,10277.50,9916.599609,10103.299805,537800,10103.299805
2010-02-04,10882.299805,10920.099609,10220.700195,10241.700195,503400,10241.700195
2010-02-03,11189.599609,11201.599609,10867.799805,10888.400391,269200,10888.400391
2010-02-02,11022.400391,11158.400391,10945.50,11140.900391,208600,11140.900391
2010-02-01,10852.400391,11033.700195,10839.400391,10995.200195,202800,10995.200195
2010-01-29,10904.00,11045.299805,10821.200195,10947.700195,222400,10947.700195
2010-01-28,11154.900391,11200.50,10829.299805,10829.299805,287000,10829.299805
2010-01-27,11199.50,11203.900391,10997.700195,11042.200195,328400,11042.200195
2010-01-26,11158.799805,11385.50,11140.400391,11347.299805,217400,11347.299805
2010-01-25,11275.400391,11383.299805,11223.700195,11249.299805,203600,11249.299805
2010-01-22,11410.00,11423.50,11204.50,11373.400391,302600,11373.400391
2010-01-21,11771.799805,11788.799805,11414.099609,11444.00,288200,11444.00
2010-01-20,11987.299805,12039.00,11642.50,11709.00,233600,11709.00
2010-01-19,11850.400391,12049.200195,11772.50,12022.599609,202400,12022.599609
2010-01-18,11888.50,11897.700195,11788.799805,11870.700195,95600,11870.700195
2010-01-15,12028.50,12085.299805,11818.599609,11845.00,236400,11845.00
2010-01-14,12049.099609,12050.400391,11902.299805,11999.799805,153800,11999.799805
2010-01-13,11923.00,12027.200195,11909.599609,11958.299805,181800,11958.299805
2010-01-12,12094.400391,12134.200195,11941.099609,11966.099609,186800,11966.099609
2010-01-11,12192.50,12233.900391,12066.099609,12074.50,230800,12074.50
2010-01-08,12218.00,12232.200195,12079.900391,12163.00,213200,12163.00
2010-01-07,12163.00,12199.700195,12079.099609,12166.299805,192400,12166.299805
2010-01-06,12216.400391,12230.700195,12147.599609,12222.50,123800,12222.50
2010-01-05,12141.799805,12240.50,12139.799805,12204.400391,238400,12204.400391
2010-01-04,11986.50,12145.099609,11986.099609,12145.099609,184200,12145.099609
